,message
10,0110111010111000100110011101000001010111011010000110000101110100001000000111011101100001011100110010000001101001011101001001110100100000011101000110100001100101
11,01100110010101101110001000000110100101100110001000000100100100100000011000110110111101110101011011000110010001101110111111110111010000100000011010000110000101110110011001010010000001101000011001010111001000100000011011010110000101100111011010010110001111110111001000000110000101110100001000000110110001100101011000010111001101110100001000000100100100100000011000110110111101110101011011000110010000100000011000100110010100100000011100000111001001100101011101000111010001111001001011101111111101010000011001010111010001110101011011100110100101100001001000000110001001101001011101000010000001101000011001010111001000100000011011000110100101110000001011100010000000100001010010010010000001100011011000010110111000111011011101000010000001101010011101010111001101110100001000000111010001100101011011000110110000100000011110010110111101110101001011100010000001011001011011110111010100111100011011000110110000100000011101000110100001101001011011100110101100100000010010011111111101101101001000000010110101011011001000000101001101101000011001010010000001110011011101110110000101101100011011000110111101110111011001010110010000101110001000001111111001001100011010010111001101110100011001010110111000101110001000000100110101101001011000110110100001100001011001010110110000101110001000000100100100100000011101110110000101110011011011101010100001110100001000000010110100100000011000010110110001110111011000010111100101110011001000000110110001101001011010110110010100100000011101000110100001101001011100110010000000101101001100000010000001010011011010000110010100100000011001110110010101110011011101000111010101110010011001010110010000100000011000010111010000100000011010000110010101110010011100110110010101101100011001101011111100100000011000010111001100100000011101000110100001101111011101010110011101101000001000000111010001101111001000000110100101101110011001000110100101100011011000010111010001100101001000000110100001100101011100100010000001101100011010010111010001101000011001010010000001100110011011110111001001101101001011100010000000100010010011000110100101101100011110010010000001100100011010010110010000100000011101000110100001101001011100110010111000100000010000100110010101100011011000010111010101110011011001010010000001001001001000000010110100100000011000100110010101100011011000010111010101110011011001010010000001001001001000000110001001100101011001110110011101100101011001000010000001101000011001010111001000101110001000000100011001101111011100100010000001111001011001010110000101110010011100110110001100100000010010010010000001100010011001010110011101100111011001010110010000100000011010000110010101110010001011100010000001001100011010010110110001111001001000000110100001100001011001000010000001100001011011000111011101100001011110010111001100100000011000100110010101100101011011100010000001110000011100100110010101110100011101000110100101100101011100100010000001110100011010000110000101101110001000000110110101100101001010100010000001100001011011100110010000100000010010011111111101100100001011100010111000101110001000000110001001100101011001010110111000100000011011010110010101100001011011100010000001110100011011110010000001101000011001010111001000101011001000000110001001100101011000110110000101110101011100110110010100100000011011110110011000100000011101000110100001100001011101001011111000100000011000010110111001100100001000000111010001101000011001010110111000100000011100110110100001100101001000000110011101101111011101000010000001101101011000010110011101101001011000111110011000100000011000110110000101101110001000000111100101101111011101010010000001101001011011010110000101100111011010010110111001100101001000000110100001101111011101110010000001001001001000000110011001100101011011000111010000110101001000000100000101101110011001000010000001001001001000000110001001100101011001110110011101100101011001000010000001101000011001010111001000100000011101000110111100100000011101010111001101100101001000000111001101101111011011010110010100100000011011110110011000100000011101000110100001100001011101000010000001101101011000010110011101101001011000110010000001101111011011100010000001101101011001010010000001110011011011110010000001110100011010000110000101110100001000000100100100100000011000110110111101110101011011000110010000100000011000100110010100100000011100000111001001100101011101000111010001111001001000000111010001101111011011111111010100100000011001010111
12,011101100101011100100110010100100000011001110110000101110100011010000110010101110010011010010110111001100111001000000110100101101110001000000101000001100101011101000111010101101110011010010110000111111111011100110010000001100101011110010110010101110011001011100101010001100101011000010111001001110011001000000111
13,0000001101000011000010110010000100000011010100111010101110011011101000010000001100111011100100110000101100100011101010110000101110100011001010110010000100000011001100111001001101111011011010010000001110101011011100110100101110110011001010111001001110011011010010111010001111001100100100010000001001001001000000111011101100001011100110010000001100111011011110110100101101110011001110010000001101111011101010111010000100000011101110110100101110100011010000010000001110100011010000110100101110011001000000110001001101111011110011111000100100000010101100110010101110010011011100110111101101110001000000100010001110101011100100111001101101100011001010111100111101110001000000110100001100101001000000111011101100001011100110010000001100110011000010111010000100000011000010110111001100100001000000110100001100101001000000111011101100001011100110010000001110100011010000110010100100000011011110110111001101100011110010010000001100010011011110111100100100000011101110110100001101111001000000111011101101111011101010110110001100100001000000111010001100001011011000110101100100000011101000110111100100000011011010110010100101110001000000100000101101110011001000010000001101000011001010010000001110011011000010110100101100100001000000110100001100101001000000111011101100001011011100111010001100101011001000010000001100011011010000110100101101100011001000111001001100101011011101111111100100000011000010110111001100100001000000111010001101000011000010111010000100000011010000110100101110011001000000110011001101001011100100111001101110100001000000111001101101111011011100010000001110111011011110111010101101100011001000010000001100010011001010010000001101110011000010110110101100101011001000010000001000100011101010110010001101100011001010111100100101110001000000100000101101110011001000010000001001001001000000111010001101000011011110111010101100111011010000111010000100000011101000110111100100000011011010111100101110011011001010110110001100110101111010010000001110111011010000110000101110100001000000110101101101001011011100110010000100000011011110110011000100000011100000110000101110010011001010110111001110100001000000110111001100001011011010110010101110011001000000111010001101000011001010110100101110010001000000110001101101000011010010110110001100100001000000100010001110101011001000110110001100101011110010010000001000100011101010111001001110011011011000110010101111001000001000010000001001001011101000010000001110111011000010111001100100000011011000110100101101011011001010010000001001001001000000111001101100001011101110010000001101101011110010010000001110111011010000110111101101100011001010010000001100110011101010111010001110101011100100110010100100000011011000110100101100110011001010010000001110011011101000111001001100101011101000110001101101000011010010110111001100111001000000110111101110101011101000010000001101001011011100010000001100110011100100110111101101110011101000010000001101111011001100010000001101101011001011111011100100000011000010110111001100100001000000100100100100000011000110110111101110101011011000110010001101110111111110111010000100000011100110111010001100001011011100110010000100000011010010111010000101110001000000100000101101110011001000010000001001001001000000111011101110010011011110111010001100101001000000111010001101111001000000110110101111001001000000111001101101001011100110111010001100101011100100010000001100001011011100110010000100000011101000110111101101100011001000010000001101000011001010111001000100000011101000110100001100001011101000010000001101001011001100010000001110011011010000110010100100000011001000110100101100100011011100001000001110100001000000110100001100101011011000111000000100000011011010110010100100000010010010111000001100100001000000111001001100001011101000110100001100101011100100010000001101010011101010111001101110100001000000010110101011011111111110100000101101110011001000010000001001100011010010110110001111001001000000111011101101111011101010110110001100100001000000111010001100101011011000110110000100000011011010110010100100000011011100110111100100010001000000110000101101110011001000010000001101101011000010110101101100101001000000111010101110000001000000111010001101000011001010010000001101101011011110111001101110100001000000111001001101001011001000110100101100011011101010110110001101111011101010111001100100000011001010111100001100011011101010111001101100101011100111111111100100000011011000110100101101011011001010010000001110100011010000110010100100000011101110110111101110010011011000110010000100000011101110110111101110101011011000110010000100000011001010110111001100100001000000110100101100110001000000111001101101000011001010010000001110111011001010111001001100101001000000110111001101001011000110110010100100000011101000110111100100000011010000110010101110010001000000111001101101001011100110111010001100101011100101010001000100000011011110111001000100000011000010010000001100011011001010110111001110100011000010111010101110010001000000111010001101111011011000110010000100000011010000110010101110010001000000110111001101111011101000010000001110100011011110010000000101101001000000111010001101000011001010010000001101101011011110111001101110100001000000111001001101001011001000110100101100011011101010110110001101111011101010111001100100000011101000110100001101001011011100110011101110011111101110010000001100001011011100110010000100000010010010010000001101000011000010111010001100101011001000010000001101000011001010111001000100000011001100110111101110010001000000110100101110100001011100010000001000001011011100110010000100000011101110110100001100101011011100010000001001001001
14,00000111001101110100011011110111000001110000011001010110010000101110010100000110010101110100011101010110111001101001011000010010
15,011100010111000101110001000000100100100100000011101110110000101110011001000000110001001100101011000010111010101110100011010010110011001110101011011001010101100100000011100000110010101101111011100000110110001100101001000000111011101100101011100100110010100100000011011100110100101100011011001010010000001110100011011110010000001101101011001011101001000000101001000000110100001100101011100100010000001110110011011110110100101100011011001010010000001100010011100100110111101101011011001010110101100100000100101010110000101101110011001000010000001100001011001100111010001100101011100100010000001110100011010000110000101110100001000000100100100100000011000110110111101110101011011000110010001101110111111110111010000100000011010000110000101110100011001010010000001101101011110010010000001110011011010010111001101110100011001010111001000100000011000010110111001111001001000000110110101101111011100100110010101111111001000000110010101110011011100000110010101100011011010010110000101101100011011000111100100100000011101110110100001100101011011100010000001001001001000000110110001100101011000010111001001101110011001010110010000100000011101110110100001100001011101000010000001101000011001010111001000100000011011010110000101100111011010010110001100100000011000100111001001101111011101010110011101101000011101000010000001101000011001010111001000100000011010010110111000100000011101000110100001100101001000000110010101101110011001000010000000101101010001000001000001000001011011100111100101110111011000010111100100001010111111010010000001010000011001010111010001110101011011100110100101100001001000000111001101100001011010010110010011111111001000000110100001100101011100100010000001110110011011110110100101100011011001010010000001110011011011010110000101101100011011000000000100100000111111110111001101101000011001010010000001100111011000010111011001100101001000000110100101101110001011100010000001010011011010000110010100100000011101000110111101101100011001000010000001101101011001010010000001101001011101000010000001110111011000010111001100100000011001000110000101101110011001110110010101110010011011110111010101110011101111110010000001100001011011100110010000100000010010010010000001110011011000010110100101100100001000000100100100100000011001000110100101100100011011100010000001110100001000000110001101100001011100100110010100100000011000010110111001111001001000000110110101101111011100100110010111101111001000000110000101101110011001000010000001001001001000000110010001110010011000010110111001101011001000000111010001101000011010010111001100100000011100000110111101110100011010010110111101101110001000000110000101101110011001000010000001001001001000000111011101100001011100110010000001110011011010010110001101101011001000000110011001101111011100100010000001110111011001010110010101101011011100110011111100100000011000100111010101110100001000000111011101101000011001010110111000100000010010010010000001100111011011110111010000100000011000100110010101110100011101000110010101110010001000000110110101111001001000000111001101101011011010010110111000100000011000110110110001100101011000010111001001100101011001000010000001110101011100000010000001100001011011100110010000100000010010010010000001100110011010010110111001100001011011000110110001111001001000000110011001101001011011000110110001100101011001000010000001101111011101010111010000100000011000010110111001100100001
16,110100101101100011001010010000001110010011001010111001101110100011010010110111001100111001000000110100101101110001000000110001001100101011001000111111100100000011000010110111001100100001000000111100101101111011101010111001000100000011100110110101101101001011011100010000001100011011011000110010101100001011100100110010101100100001000000111010101110000001000000110111101101110001000000110100101110100011100110010000001101111011101110110111000101110001000000100111101110010001000000110001001100101011010010110111001100111001000000111001101101001011000110110101100100000011011010110000101100100011001010010000001111001011011110111010100100000011000110110100001100001011011100110011101100101001000000111100101101111011101010111001000100000011001000110100101100101011101000010000000101101111111011101111101000100011000010111001001101100011010010110111001100111011111110111111000100000010011010110100101100011011010000110000101100101011011000010000001110011011000010110100101100100001000000110011101100101011011100111010001101100011110011011111100100000111111110111100101101111011101010010000001100111011011110111010000100000011100110110100101100011011010110111111000100000011110010110111101110101001000000110011101100001011010010110111001100101011001000010000001110011011011110110110101100101001000000111011101100101011010010110011101101000011101000010000001110111011010000
17,110100101100001001000000111001001100101011100000110010101100001011101000110010101100100001011100010000011111111010010010010000001110011011000010111011100100000011010010111010000101110110000001101101101010011011010000110010100100000011101110110000101110011001000000110000100100000011101110110100101110100011000110110100000010111100111100010000001010000011001010111010001110101011011100
18,1010000100000011000100110010100100000011101000111001001110101011001010010111000100000010001000110111100100000010010010010000001110010011001010110000101101100011011000111100100100000011010000110000101110110011001010010000001110100011011110010000001100101011110000111000001101100011000010110100101101110001000000111011101101000011110011111101011011101111111110101000001100101011101000111010101101110011010010110000100011001111100110010000001001101011010010110001101101000011000010110010101101100001000000111001101100001011010010110010000101110001000000101010001101000011001010010000001100001011011100110111001101111011110010110000101101110011000110110010100100000011101110110000101110011001000000110001101110010011001010110010101110000011010010110111001100111001000000110100101101110011101000110111100100000011010000110100101110011001000000111011001101111011010010110001101100101001011100010000011011111010110010110111101110101001000000110101101101110011011110111011100100000011101000110100001100001011101000010000001100011011000010110111000100000011
19,11101110101011010000010000001100010011101010111010000100000011100000110110001100101011000010111001101100101001100010010000001111001011011110111010100100000011010000110000101110110011001010010000001110100011011110010000001110100011100100111010101110011011101000010000001101101011001010010000001101111011011100010000001110100011010000110100101110011001000000010110100001000010100000110010101110100011101010110111001101001011000010010000001110111011100100111010101101110011001110010000001101000011001010111001000100000011010000110000101101110011001000111001100101110001000000101001101101000011001010010000001110011011001010110010101101101011001010110010000100000011101000110111100100000011000100110010100100000011011110110111000100000011101000110100001100101001000000111011001100101011100100110011101100101001000000110111101100110001000000111010001100101011000010111001001110011001011100010000000011010010011010111100100100000011011000110111101110110011001011111111100100000010010010010000001101011011011100110111101110111001000000100100100100000011000110110000101101110110111110111010000100000011101110110100101101110001000000110000101110010011001110111010101101101011001010110111001110100011100110010000001110111011010010111010001101000001000000111100101101
20,100000010011010111010101101101001000010001111100010000111000100100010001100001011001000010000100
21,000000111010001101000011001010110110100100000011100110111010001101111011100000111000001100101011001000010000001100001011011100110010000100000011011000110111101101111011010110110010101100100001000000110000101110100001000000100100001100001011100100111001001111001001000000110000101110011001000000111010001101000011011110111010101100111011010000010000001110100011010000110010101111001000001010110010000100000011001100110111101110010011001110110111101110100011101000110010101101110001000000111010001101000011001010111001001100101001000000111011101100001011100110010000001100001001000000111010001101000011010010111001001100100001000000111000001100101011100100111001101101111011011100010000001101001011011100010000001110100011010000110010100100000011100100110111101101111011011010010111001010100011010000110010100100000011101000111011101101111001000000110111101100110001
22,0110111010101111011101000010000001101000011000010111011001100101001000000110110101100001011001110110100101100011111111110010000001100100011010010110010000100000011101000110100001100101011110010011101000010110010010000110000101110010011100100111100100100000011101000110111101101111011010110010000001100001001000000110010001100101011001010111000000100000011000100111001001100101011000010111010001101000001011100010000000110010010011010111010101101101100110000010000001111001011011110111010101110010001000000111000001100001011100100110010101101110011101000111001100100000011001000110100101100100
23,000000110110001101111011011110110101101101001011011100110011100100000011100000111010101111010011110100110110001100101011001000010111001111110010011100110111101011101111011110010000001010000011001010111010001110101011011100110100101100001001000000111001101100001011010010110010001011110001
24,000011011000110010101110100011101000110010101110010001011100010000001001000011011110111011100100000011001000110100101100100001000000111010001101000011001010111100100100000011001110110010101110100001000000110001101101111011011100111011001101001011011100110001101100101011001001011100000100011011110100101010001101000011001010110111000100000011011100110111100100000011011110110111001100101001000000110100101101110001000000111100101101111011101010111001000100000011001100110000101101101011010010110110001111001001000000110101101101110011001010111011100100000011000010110001001101111011101010111010000100000011011010110000101100111011010010110001100100000011101110110100001100101011011100010000001001100011010010110110001111001001000000110011101101111011101000010000001101000011001010111001000100
25,000101100111011010010110001100101110111111111111111101000001011010000010111000101110001011101100011000100000010100000110010101110100011101010110111001101001011000010010000001110011011000010110100101100100001011100010000001010000010101000110100001100101011110010010000001100100011010010110010001101110111111110111010000100000011010100111010101110011011101000010000001110011011001010110111001100100001000000110000100100000011011000110010101110100011101000110010101110010001011100010000001010100011010000110010101111001001000000111001101100101011011100111010000100000011000010010000001110000011100100110111101100110011001010111001101110011011011110111001000100000011001100111001001101111011011010010000001001000011011110110011101110111011000010111001001110100011100110010111000100000010010000110010100100000001011010010000000100000010100000110010101110100011101010110111001101001011000011111111101110011001000000110010101111001011001010111001100100000011001100110110001101001011000110110101101100101011001000010000001110100011011110010000001001101011010010110001101101000011000010110010101101100001011100010000010001000010010000110010100100000011100110110100001101111011101110110010101100100001000000111010101110011001000000111001101101111011011010110010100100000011011010110
26,000001010100011010000110000101110100110101110111001100100000011101110110100001100001011101000010000001110100011010000110010100100000011001010111100001110000011001010111001001101001011011010110010101101110011101000110000101101100001000000110110101100101011101000110100001101111011001000010000001101001011100110010000001100110011011110111001011111110001000000111001101101111001000000111010001101000011000010111010000100000011101110110010100100000011001000110111101101110101001100111010000100000011010000110000101110110011001010010000001110100011011110010000001110010011001010111001101101111011011000111011001100101001000000111010001101000011010010110111001100111011100110010000001101010011101010111001101110100001000000110001001111001001000000110000101110010011001110111010101101001011011100110011100101110111010110101101001010100011010000110010101101110001000000111100101101111011101010010000001100100011011110110111011111001011101000010000001101000011000010111011001100101001000000111010001101111001000000110011001101001011001110110100001110100001000000110111101110110011001010111001000100000011101000110100001101001011100110100001111111011001000000100100001100001011100100111001001111001001000000111001101100001011010010110010000100000011001100110100101110010011011010110110001111001001011100010000001001000011011110111000001101001011011100110011100100000011000010110011101100001011010010110111001110011011101000010000001101000011011110111000001100101001000000111010001101000011000010111010000100000011101000110100001101001011100110010000001110100011010010110110101100101010000100010000001101010011101010111001101110100001000000111010001101000011010010111001100100000011011110110111001100011011001011100001000100000011101000110100001100101011110010010000001110111011011110111010101101100011001000010000001101100011010010111001101110100011001010110111000100000011101000110111100100000011010000110100101101101001011100010000011101111010010010110011000100000011010010111010011011111011100110010000001110100011100100111010101100101101111000010000001110111011001010010000001100011011000010110111000100000011010100111010101110011011101000010000001100111011001010111010000100000011000010010000001001000011011110110011101110111011000010111001001110100011100110010000001110000011100100110111101100110011001010111001101110011011011110111001000100000011010000110010101110010011001010010000001100001011011100110010000100000011100110110010101100101001000000111010001101000011001010010000001101101011000010110011101101001011000110010000001100110011011110111001000100000011011110111010101110010011100110110010101101100011101100110010101110011110110110010000001100001011011100110010000100000010001000110000101100100001000000111011101101001011011000110110000100000011000010110010001101101011010010111010000100000011101000110100001100001011101000010000001101001011101000000010001110011001000000111010001110010011101010110010100101110001000000100000101101110011001000010000001101001011001100010000001101110011011110111010001001010001000000111010001101000011001010110111000100000010011010111010101101101001000000111011101101001011011000110110000100000011000010110010001101101011010010111010000100000011101000110100001100001011101000010000001101001011101000001101001110011001000000110011001100001011011000111001101100101001011100010
27,1100010000001010010011001010110000101101100011011000111100111000010001000000110110101100001011001110110100101100011000101010010000001001001001000000111010001101000011011110111010101100111011010000111010000100000011110010110111101110101110000100110010000100000011010110110111001101111011101110010000001100010011001010111010001110100011001010111001000100000011101000110100001100001011011100010000001110100011011110010000001110100011000010110101101100101001000000111010001101000011010010111001100100000011100110110010101110010011010010110111101110101011100110110110001111001100001000010000001110011011011110110111010001000001000000110010101110110011001010110111000100000011010010110011000100000011110010110111101110101101010010111001001100101001000000110111101101110011011000111100100100000011101000110010101101110001011100010000001001101011000010110011101101001011000110010000001101001011100110010000001101010011101010111001101110100001000000110000101100010011011110111010101110100001000000111010001101000011001010010000001101101011011110111001101110100001000000111010101101110011100110110001101101001011001010110111001110100011010010110011001101001011000110010000001110100011010000110100101101110011001110010000001110100011010000110010101110010011001010010000001101001011100110010000111111111010101000110100001100101001000000101000001110010011011110110011001100101011100110111001101101111011100100010000001110100011101010111001001101110011001010110010000100000011000010110111001100100001000000110110001101111011011110110101101100101011001000010000001100100011011110111011101101110001000000110000101110100001000000110100001101001011011011111111100100000011001000110100101110011011011010110100101110011011100110110100101110110011001010010000001100001011100110010000001110101011100110111010101100001011011000010111000100000100000010100111101101000111101010010000001100011011011110110110101100101001000000110111001101111011101110110000100100000010010000110000101110010011100100111100100101
